rush_yd,rush_td,rush_fd,rush_att,rush_2pt,pts_std,pts_ppr,pts_half_ppr,pass_yd,pass_td,pass_int,pass_fd,pass_cmp,pass_att,pass_2pt,gp,fum_lost,cmp_pct,adp_std,adp_rookie,adp_ppr,adp_idp,adp_half_ppr,adp_dynasty_std,adp_dynasty_ppr,adp_dynasty_half_ppr,adp_dynasty_2qb,adp_dynasty,adp_2qb,player_id,first_name,last_name,injury_status
9.0,,0.9,3.0,,16.58,16.58,16.58,217.0,2.0,1.0,21.7,19.0,31.0,,18.0,,61.29,650.5,999.0,999.0,999.0,632.3,999.0,542.6,999.0,999.0,999.0,999.0,862,Blaine,Gabbert,
4.0,,0.4,2.0,,16.24,16.24,16.24,221.0,2.0,1.0,22.1,19.0,31.0,,18.0,,61.29,999.0,999.0,999.0,999.0,291.0,495.5,511.4,502.5,999.0,999.0,999.0,2549,Trevor,Siemian,
38.0,,3.8,8.0,,16.08,16.08,16.08,232.0,1.0,1.0,23.2,22.0,35.0,,18.0,,62.86,497.4,999.0,999.0,363.7,516.7,261.1,280.9,260.5,203.9,999.0,293.6,10857,Stetson,Bennett,
14.0,1.0,1.4,4.0,,16.04,16.04,16.04,191.0,1.0,1.0,19.1,17.0,27.0,,18.0,1.0,62.96,575.5,999.0,614.4,999.0,611.5,635.0,999.0,648.0,417.6,999.0,999.0,8206,Skylar,Thompson,
8.0,,0.8,2.0,,13.96,13.96,13.96,254.0,1.0,1.0,25.4,23.0,37.0,,18.0,,62.16,580.0,999.0,999.0,999.0,616.0,999.0,463.7,999.0,999.0,999.0,999.0,4464,Nick,Mullens,
9.0,,0.9,2.0,,13.58,13.58,13.58,242.0,1.0,1.0,24.2,20.0,34.0,,18.0,,58.82,365.0,999.0,999.0,999.0,403.5,653.7,583.0,663.7,330.4,999.0,999.0,5854,Drew,Lock,
13.0,,1.3,3.0,,13.3,13.3,13.3,225.0,1.0,1.0,22.5,20.0,33.0,,18.0,,60.61,999.0,999.0,999.0,999.0,421.0,644.2,601.0,591.6,386.4,999.0,332.8,4574,Cooper,Rush,
32.0,,3.2,5.0,,13.08,13.08,13.08,172.0,1.0,1.0,17.2,15.0,26.0,,18.0,,57.69,518.8,999.0,999.0,480.9,508.9,343.0,345.4,341.4,276.0,999.0,999.0,10862,Dorian,Thompson-Robinson,
6.0,,0.6,3.0,,13.0,13.0,13.0,235.0,1.0,1.0,23.5,20.0,32.0,,18.0,,62.5,999.0,999.0,692.9,999.0,999.0,999.0,999.0,999.0,999.0,999.0,474.9,89,Chad,Henne,
3.0,,0.3,,,12.62,12.62,12.62,233.0,1.0,1.0,23.3,21.0,33.0,,18.0,,63.64,510.0,999.0,999.0,999.0,541.0,999.0,555.4,999.0,999.0,999.0,624.2,19,Joe,Flacco,
8.0,,0.8,3.0,,12.28,12.28,12.28,212.0,1.0,1.0,21.2,19.0,31.0,,18.0,,61.29,502.3,999.0,999.0,999.0,500.8,624.0,999.0,637.0,999.0,999.0,999.0,4127,C.J.,Beathard,
13.0,,1.3,4.0,,11.94,11.94,11.94,191.0,1.0,1.0,19.1,18.0,30.0,,18.0,,60.0,359.5,999.0,604.5,999.0,372.5,576.0,999.0,586.0,322.0,999.0,999.0,10983,Sean,Clifford,
14.0,,1.4,2.0,,11.84,11.84,11.84,186.0,1.0,1.0,18.6,18.0,29.0,,18.0,,62.07,999.0,999.0,999.0,999.0,999.0,999.0,619.5,999.0,999.0,999.0,999.0,1737,Case,Keenum,Questionable
14.0,,1.4,5.0,,11.72,11.72,11.72,183.0,1.0,1.0,18.3,17.0,28.0,,18.0,,60.71,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,4179,Joshua,Dobbs,
2.0,,0.2,2.0,,11.68,11.68,11.68,212.0,1.0,1.0,21.2,21.0,32.0,,18.0,,65.63,501.0,999.0,999.0,999.0,531.0,999.0,999.0,999.0,999.0,999.0,999.0,345,Brian,Hoyer,
,,,,,11.6,11.6,11.6,215.0,1.0,1.0,21.5,19.0,32.0,,18.0,,59.38,999.0,999.0,999.0,999.0,396.0,563.0,999.0,573.0,999.0,999.0,999.0,5127,Kyle,Allen,
12.0,,1.2,4.0,,11.44,11.44,11.44,181.0,1.0,1.0,18.1,17.0,29.0,,18.0,,58.62,383.7,999.0,999.0,508.8,399.1,383.6,352.7,384.5,263.7,999.0,337.0,10866,Aidan,O'Connell,
3.0,,0.3,2.0,,11.38,11.38,11.38,202.0,1.0,1.0,20.2,19.0,31.0,,18.0,,61.29,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,620.3,5806,John,Wolford,
31.0,,3.1,6.0,,11.3,11.3,11.3,180.0,1.0,1.0,18.0,17.0,26.0,,18.0,1.0,65.38,596.2,999.0,999.0,296.3,608.1,219.4,246.8,220.0,164.9,999.0,350.7,9998,Hendon,Hooker,PUP
15.0,,1.5,3.0,,10.66,10.66,10.66,154.0,1.0,1.0,15.4,14.0,22.0,,18.0,,63.64,999.0,999.0,999.0,999.0,999.0,999.0,465.0,999.0,999.0,999.0,999.0,4972,Mason,Rudolph,
