,Projections,gsis_id,stats_id,injury_start_date,fantasy_data_id,swish_id,pandascore_id,injury_body_part,birth_city,first_name,age,last_name,active,team,yahoo_id,depth_chart_position,status,sportradar_id,injury_notes,player_id,fantasy_positions,rotoworld_id,search_rank,oddsjam_id,rotowire_id,full_name,position,espn_id,depth_chart_order
3531,3.5,00-0034177,741447.0,,20283.0,741447.0,,,,Tim,29.0,Boyle,True,MIA,31431.0,,Active,d897b70f-29d9-477e-a72a-c9bfbadb70d3,,5257,['QB'],,493.0,574DEBFA7DB3,13109.0,Tim Boyle,QB,3045169.0,
3532,189.5,00-0031763,612512.0,,17218.0,612512.0,,,,DeAndre,31.0,Carter,True,CHI,28947.0,SWR,Active,9ae2584a-40c1-4b30-be34-a9567659eacd,,2750,['WR'],10738.0,999.0,FD25481393AE,10234.0,DeAndre Carter,WR,2580216.0,8.0
3533,0.0,,,,,1162128.0,,Knee,,Puka,23.0,Nacua,True,LAR,,RWR,Active,111be44d-7bc2-4cad-934d-c9e946293b2f,,9493,['WR'],,16.0,3EFD62DFAF78,16790.0,Puka Nacua,WR,,1.0
3534,0.0,,,,2779.0,,,,,Jo-Lonn,35.0,Dunbar,False,,9111.0,,Inactive,569c6923-6d97-4104-87c6-b99cc8212154,,106,['LB'],,9999999.0,,5746.0,Jo-Lonn Dunbar,LB,11693.0,
3535,0.0,,,,,1054916.0,,,,Grant,25.0,Miller,True,,,,Active,22cd5eb0-f0fd-11ed-bc0a-3b3e002b29df,,11409,['OL'],,9999999.0,FFC0ABEC3337,,Grant Miller,OL,,
3536,0.0,,,,18512.0,,,,,Jason,25.0,Neill,False,,29897.0,OLB,Inactive,,,3706,['LB'],,9999999.0,,11633.0,Jason Neill,OLB,2580064.0,3.0
3537,0.0,00-0032631,,,18526.0,,,,,Makinton,29.0,Dorleant,False,,29723.0,,Inactive,eee79103-9ded-4a79-812b-b9b18da20135,,3718,['DB'],,9999999.0,,11442.0,Makinton Dorleant,CB,2577071.0,
3538,0.0,,,,,946363.0,,,,Lewis,26.0,Kidd,True,,,,Active,b231c260-cc9d-11ec-952e-a10f2c98fc4d,,8672,['OL'],,9999999.0,1E17258B70EA,,Lewis Kidd,OL,,
3539,0.0,,,,12101.0,,,,,Reggie,35.0,Walker,False,,,,Inactive,89be4a71-66f0-4566-8e85-372e8b4e6412,,694,['LB'],,9999999.0,,,Reggie Walker,LB,12905.0,
3540,0.0, 00-0035305,840248.0,,21044.0,840248.0,,,,Jordan,26.0,Brown,True,,32055.0,,Active,198b8c48-abe7-4fcb-9aea-6519fa650b18,,6030,['DB'],,9999999.0,,13547.0,Jordan Brown,DB,3121034.0,
3541,0.0,,,,20951.0,,,,,Brandon,,Snyder,False,,,,Inactive,,,6166,['DB'],,9999999.0,,,Brandon Snyder,S,,
3542,0.0,00-0033969,691842.0,,19102.0,691842.0,,Undisclosed,,Ifeadi,30.0,Odenigbo,True,,30333.0,,Active,eb2c9e63-3a33-441e-aa95-462eaf97a371,,4256,['DL'],,9999999.0,86D2A4F8D156,11932.0,Ifeadi Odenigbo,DE,2974353.0,
3543,41.0,,,,,1122493.0,,Undisclosed,,Devin,22.0,Carter,True,,,,Active,cedf5a30-0710-11ef-9966-7da8f700d6c7,,12019,['WR'],,9999999.0,0F48B63E224D,18421.0,Devin Carter,WR,,6.0
3544,0.0,,,,,1180047.0,,Hamstring,,Mekhi,24.0,Garner,True,,,,Inactive,30c4b3f0-eb72-11ed-aecd-85bc826ed43e,,11275,['DB'],,9999999.0,4F241F0A3B26,17351.0,Mekhi Garner,CB,,
3545,0.0,00-0034813,,,20068.0,741797.0,,,,Justin,27.0,Lawler,True,,31214.0,,Active,a4ce9a04-668a-4120-938b-3f05983cc0f3,,5307,['LB'],,9999999.0,,12716.0,Justin Lawler,LB,3040109.0,
3546,69.7,,,,20400.0,,,,,Parris,25.0,Bennett,True,,31430.0,,Active,52b3d4dc-9441-48e8-acc2-31b5cc6e40f0,,5324,['LB'],,9999999.0,,12658.0,Parris Bennett,ILB,3124003.0,
3547,0.0,,,,,1124851.0,,,,Andrei,24.0,Iosivas,True,CIN,,RWR,Active,30c0df5e-bb77-4eee-8390-8fc13844e1c3,,10226,['WR'],,488.0,9128D6883711,16965.0,Andrei Iosivas,WR,,3.0
3548,0.0,,,,,,,,,Michael,,Bertoia,True,,,,Active,65b10b90-07c8-11ef-86c2-ebf6ebca8f45,,12177,,,9999999.0,,,Michael Bertoia,C,,
3549,0.0,00-0033530,744112.0,,19131.0,,,,,Robert,26.0,Davis,True,,30322.0,,Active,d0879c68-6387-4edc-b55b-07e128546ae7,,4285,['WR'],,1230.0,,11853.0,Robert Davis,WR,3042373.0,
