gsis_id,stats_id,injury_start_date,fantasy_data_id,swish_id,pandascore_id,injury_body_part,birth_city,first_name,age,last_name,active,team,yahoo_id,depth_chart_position,status,sportradar_id,injury_notes,player_id,fantasy_positions,rotoworld_id,search_rank,oddsjam_id,rotowire_id,full_name,position,espn_id,depth_chart_order
,,,,1213362,,,,Kayshon,22,Boutte,TRUE,NE,,LWR,Active,9c054866-5e6c-460b-9af3-ebf91e7d0a3e,,9504,['WR'],,549,86B6983F9C7F,16795,Kayshon Boutte,WR,,7
00-0034034,750368,,19732,750368,,,,Rashard,26,Davis,TRUE,,30940,,Active,4e87e1a1-8b89-4738-a527-87eb0663c35d,,4828,['WR'],,9999999,,12367,Rashard Davis,WR,3049329,
,506529,,16144,,,,,Dri,29,Archer,FALSE,,27625,,Inactive,4aeef161-65c6-4bc6-89c5-ceb7d6d1a25b,,1914,['RB'],,9999999,,9474,Dri Archer,RB,16755,
,,,,1052604,,,,Daniel,24,Whelan,TRUE,,,,Active,53744270-fbf9-11ed-b3ef-4b1a763c6ea8,,11525,['P'],,9999999,,,Daniel Whelan,P,,
,,,15620,,,,,Darren,27,Woodard,FALSE,,,,Inactive,7a1775f4-0869-4377-93c7-02331a65606f,,1711,['DB'],,9999999,,,Darren Woodard,CB,16122,
00-0033407,744431,,19255,,,,,Drew,27,Morgan,TRUE,,30647,,Active,7e56f066-0225-4b22-ab11-9cb1d6325ee8,,4396,['WR'],,9999999,,11867,Drew Morgan,WR,3046438,
00-0033460,747906,,18881,747906,,,,John,28,Ross,TRUE,,30122,,Active,938b363a-6967-4cef-bcd2-bb358a9f6c98,,4038,['WR'],12173,656,15F7058AB537,11699,John Ross,WR,3052177,
00-0029647,397413,,14167,397413,,,,Kyle,33,Wilber,TRUE,,25823,,Active,cdbaf089-9c7e-418f-829e-d903c28b2628,,1148,['LB'],,9999999,,8224,Kyle Wilber,LB,15038,
,398112,,13162,,,,,Leonard,31,Hankerson,FALSE,,24866,,Inactive,7877c393-beb4-4f40-a6c5-d864ca6e5172,,914,['WR'],6425,9999999,,7381,Leonard Hankerson,WR,14021,
,,,15392,,,,,Jordan,30,Kovacs,FALSE,,27248,,Inactive,d6f89ef1-41a2-4066-91e0-7ed9882a81fd,,1649,['DB'],,9999999,,8894,Jordan Kovacs,DB,16363,
,,,,1271738,,,,Jaleel,23,McLaughlin,TRUE,DEN,,RB,Active,60b4ded0-f321-11ed-ab27-e38fa04fd6c0,,11439,['RB'],,175,C92FD917D2BE,17319,Jaleel McLaughlin,RB,,2
,,,,1216596,,,,Johnny,23,King,TRUE,,,,Active,08ee0ac0-eb81-11ed-bdbc-7f2763e63be6,,11282,['WR'],,469,,17509,Johnny King,WR,,
00-0032728,614302,,18540,614302,,,,Tevin,29,Jones,TRUE,,29795,,Active,44d9bb75-f947-406c-b847-6b11684a07c1,,3730,['WR'],,1091,,11467,Tevin Jones,WR,2586703,
,,,22155,1215064,,,,Kyle,26,Hinton,TRUE,ATL,32925,OL,Active,a78d3d14-3cc9-4adf-96fe-dc7660cb4c2d,,7153,['OL'],,9999999,747242DB58D9,14838,Kyle Hinton,G,4682831,
,,,18176,,,,,Anthony,25,Sarao,FALSE,,29610,,Inactive,551c4d76-6a16-497b-ac3d-33157cdf7107,,3414,['LB'],,9999999,,11663,Anthony Sarao,ILB,2577263,
,,,4877,,,,,DeMarcus,38,Ware,FALSE,,7187,,Inactive,f5fa509a-fc67-4c74-be9f-cb9cc8815a6f,,186,"['DL', 'LB']",3170,9999999,,4474,DeMarcus Ware,DE,8426,
,,,,1065334,,,,Tyler,25,Beach,TRUE,,,,Active,36dd9260-f32a-11ed-8b21-7331769fea7c,,11450,['OL'],,9999999,852030D03457,16783,Tyler Beach,OL,,
,,,,1134580,,,,Mark,24,Evans,TRUE,,,,Active,63de8230-e775-11ed-bd6a-139cc0e9c4a5,,11109,['OL'],,9999999,35D02D6B4C55,,Mark Evans,OL,,
,381820,,14189,,,,,Shea,31,McClellin,FALSE,,25729,,Inactive,96981fd3-bd93-4134-84fc-3506197ac7eb,,1150,['LB'],7518,9999999,,8147,Shea McClellin,LB,14937,
,,,15997,,,,,Randell,29,Johnson,FALSE,,27749,,Inactive,437120e5-3406-4796-b941-ae3c9aed8bee,,1813,['LB'],,9999999,,9777,Randell Johnson,LB,16816,
,,,19244,,,,,Duplicate,24,Player,FALSE,,30620,,Inactive,fabca6af-000d-42a9-8a90-524f401a9774,,4788,['DB'],,9999999,,12282,Duplicate Player,CB,,
