stats_id,fantasy_data_id,active,team,status,player_id,fantasy_positions,full_name,position,depth_chart_order
,21360,TRUE,,Active,6581,['LB'],Derick Roberson,LB,
,19619,TRUE,,Active,4712,['LB'],Johnny Ragin,ILB,
464273,15433,TRUE,,Active,1660,['DB'],Brynden Trawick,FS,
,7236,FALSE,,Inactive,287,['WR'],Brad Smith,WR,
,22257,TRUE,,Inactive,7258,['RB'],Luke Sellers,FB,
599100,17747,TRUE,,Inactive,3040,['DL'],David Irving,DE,
,,TRUE,,Active,12028,['RB'],TaMerik Williams,RB,
333361,10992,FALSE,,Inactive,521,['TE'],Jeff Cumberland,TE,
,22384,TRUE,,Active,7399,['DB'],Bejour Wilson,CB,
,14725,FALSE,,Inactive,1279,['LB'],Orie Lemon,LB,
,19236,FALSE,,Inactive,4379,['OL'],Geoff Gray,G,
,16262,TRUE,,Active,1991,['DB'],Rashaad Reynolds,CB,
,,TRUE,DAL,Active,11512,['DL'],Tyrus Wheat,DE,3
652764,18253,TRUE,,Inactive,3488,['RB'],D.J. Foster,RB,
,,TRUE,HOU,Active,11044,['OL'],Nick Broeker,OL,
,11574,FALSE,,Inactive,630,['DB'],Phillip Adams,CB,
,20548,TRUE,,Active,5557,['LB'],Emmanuel Beal,ILB,
,5696,FALSE,,Inactive,4909,['RB'],Duce Staley,RB,
501862,14972,FALSE,,Inactive,1412,['DB'],Shamarko Thomas,SS,
,18500,FALSE,,Inactive,3697,['DL'],Kyle Rose,NT,
,19127,FALSE,,Inactive,4281,['LB'],Josh Carraway,OLB,
,,TRUE,,Active,12244,['WR'],DeAngelo Hardy,WR,
,22471,TRUE,,Active,7497,"['OL', 'OT']",Kamaal Seymour,OT,
,9892,FALSE,,Inactive,489,['OL'],Jamon Meredith,T,
498760,14917,TRUE,,Active,1387,['RB'],Rex Burkhead,RB,
,18571,FALSE,,Inactive,3759,['TE'],Gabe Hughes,TE,
,,TRUE,,Active,8030,['DB'],Emmanuel Rugamba,CB,
,20725,TRUE,,Active,5832,['DB'],Mercy Maston,CB,
,,TRUE,LAC,Active,11122,['LB'],Andrew Farmer,LB,
,21159,TRUE,,Active,6559,['OL'],Tanner Volson,C,
,22372,TRUE,,Active,7386,['DB'],Malcolm Elmore,DB,
,,TRUE,ATL,Active,7553,['TE'],Kyle Pitts,TE,1
820617,20090,TRUE,,Active,5143,['RB'],Demario Richard,RB,
,20399,FALSE,LAR,Inactive,5308,['DL'],Duplicate Player,DE,2
,14273,FALSE,,Inactive,1172,['OL'],Don Barclay,G,
,20386,TRUE,,Active,5617,['P'],Austin Barnard,P,
,20516,TRUE,,Active,5664,['LB'],Trent Harris,LB,
,17342,FALSE,,Inactive,2874,['DL'],Leon Mackey,DE,
,18911,TRUE,HOU,Active,4065,['DL'],Derek Barnett,DE,2
,22474,FALSE,,Inactive,7501,['DB'],Evan Foster,S,
,,TRUE,,Active,8410,['WR'],Jequez Ezzard,WR,
946582,20795,FALSE,PIT,Active,5845,['QB'],Dwayne Haskins,QB,
556955,16308,TRUE,,Active,2025,['WR'],Albert Wilson,WR,
,20728,TRUE,,Active,5838,['K'],Phillip Andersen,K,
,,TRUE,,Active,12300,['TE'],Joshua Lingenfelter,TE,
326573,12538,FALSE,,Inactive,767,['DL'],Chris Baker,DT,
,,TRUE,,Active,8645,['DB'],Benjie Franklin,CB,
,15133,FALSE,,Inactive,1523,['DL'],Josh Boyd,DT,
,,TRUE,,Active,11134,['DB'],Kaleb Hayes,CB,
,,TRUE,PHI,Active,11304,['TE'],E.J. Jenkins,TE,
,,TRUE,,Active,8502,['OL'],Cade Mays,OL,
,,TRUE,PIT,Active,10940,"['DL', 'LB']",Nick Herbig,LB,2
,20271,TRUE,MIA,Active,5534,['DB'],Elijah Campbell,DB,2
,19664,TRUE,,Active,4746,['DB'],Ryan Reid,CB,
,,TRUE,BAL,Active,7970,['DB'],Ar'Darius Washington,DB,2
216342,611,TRUE,IND,Active,19,['QB'],Joe Flacco,QB,2
,,TRUE,,Active,12329,['OL'],Cade Beresford,OL,
739698,20389,TRUE,,Active,5296,['TE'],Elijah Wellman,FB,
,,TRUE,GB,Active,7782,['LB'],Isaiah McDuffie,LB,1
,17250,FALSE,,Inactive,2782,['DL'],Niko Davis,DE,
,,TRUE,,Active,12301,,Treylen Brown,C,
,,TRUE,,Active,11279,['OT'],Chim Okorafor,OT,
,19062,TRUE,,Active,4216,['DB'],Desmond King,DB,
,16507,FALSE,,Inactive,2160,['OL'],Zac Kerin,G,
696159,19220,FALSE,,Inactive,4363,['DB'],Demetrious Cox,SS,
,18657,FALSE,,Inactive,3837,['DB'],Kenneth Durden,CB,
,,TRUE,JAX,Active,10941,['DL'],Tyler Lacy,DE,2
,,TRUE,KC,Active,11756,['OL'],Hunter Nourzad,OL,
,18230,TRUE,,Active,3466,['DB'],Andrew Williamson,SS,
325993,13595,FALSE,,Injured Reserve,1009,['WR'],Bryan Walters,WR,
,,TRUE,HOU,Active,10970,['LB'],Henry To'oTo'o,LB,1
,,TRUE,,Active,8609,['DL'],Hauati Pututau,DT,
,17146,FALSE,,Inactive,2678,['DL'],Ray Drew,DE,
,18687,TRUE,,Inactive,3865,['DB'],Chris Edwards,DB,
,19434,FALSE,,Inactive,4553,['OL'],Dieugot Joseph,OT,
,17768,FALSE,,Inactive,3053,['OL'],Shane McDermott,G,
,15134,FALSE,,Inactive,1524,['WR'],Kevin Dorsey,WR,
403307,14620,FALSE,,Inactive,1250,"['RB', 'TE']",Will Johnson,TE,
,,TRUE,,Inactive,11129,['OL'],Nic Melsop,T,
,22246,TRUE,,Active,7246,['OL'],Drake Dorbeck,T,
554911,16979,FALSE,,Inactive,2519,['TE'],Neal Sterling,TE,
,21500,TRUE,,Active,6624,['DB'],Joshua Simmons,CB,
690965,17189,FALSE,,Inactive,2721,['WR'],Chris Harper,WR,
837596,21480,TRUE,,Active,6459,['WR'],Sean Modster,WR,
,,TRUE,,Active,12264,['WR'],Cole Beck,WR,
608950,17203,FALSE,,Inactive,2735,['LB'],Thurston Armbrister,LB,
400516,12751,TRUE,,Active,801,['TE'],Charles Clay,TE,
,18326,TRUE,,Active,4911,['OL'],Quinton Schooley,C,
,19121,TRUE,,Active,4275,['OL'],Justin Senior,OT,
216526,7580,FALSE,,Inactive,306,['RB'],DeAngelo Williams,RB,
607809,18249,FALSE,,Inactive,3484,['WR'],Nelson Spruce,WR,
544486,17144,FALSE,,Inactive,2676,['LB'],Zach Vigil,LB,
830271,21319,TRUE,,Active,6374,['TE'],Drew Belcher,TE,
712506,18900,TRUE,IND,Active,4054,['TE'],Mo Alie-Cox,TE,2
553026,15019,FALSE,,Inactive,1450,['WR'],Ace Sanders,WR,
543637,16227,FALSE,,Inactive,1966,['WR'],Ryan Lankford,WR,
,,TRUE,,Active,7944,['WR'],Mike Strachan,WR,
,,TRUE,KC,Active,11319,['DL'],Truman Jones,DE,
,5467,FALSE,,Inactive,219,['DL'],Mario Williams,DE,
563521,17387,FALSE,,Inactive,2919,['WR'],Tyler McDonald,WR,
,,TRUE,,Active,7740,"['DL', 'LB']",Kobe Jones,LB,
466883,15190,TRUE,,Active,1550,['QB'],Ryan Griffin,QB,
,19834,TRUE,TB,Active,4969,['DL'],Vita Vea,DT,1
,11545,TRUE,,Active,623,"['OG', 'OL']",Rodger Saffold,G,
333346,11181,FALSE,,Inactive,557,['DB'],Perrish Cox,CB,
,,TRUE,,Active,11794,['DB'],Micah Abraham,CB,
,22010,TRUE,ARI,Active,6930,['OL'],Trystan Colon,C,
608360,18187,TRUE,MIA,Active,3423,['WR'],Robbie Chosen,WR,
,17936,TRUE,CLE,Active,3175,"['OL', 'OT']",Jack Conklin,OT,
500672,16120,FALSE,,Inactive,1897,['RB'],Nikita Whitlock,FB,
,,TRUE,,Active,12121,['RB'],Deshaun Fenwick,RB,
,18531,TRUE,,Active,3723,['OL'],Josh James,G,
880538,14729,FALSE,,Injured Reserve,1282,"['DL', 'LB']",Ryan Davis,DE,
323332,8848,FALSE,,Inactive,406,['TE'],John Phillips,TE,
607660,18262,TRUE,,Active,3496,['TE'],Stephen Anderson,TE,
399453,18,FALSE,,Inactive,1,['QB'],GJ Kinne,QB,
691511,19723,TRUE,,Active,4813,['WR'],Marvin Bracy,WR,
,,TRUE,,Active,11365,['DB'],Tyreque Jones,DB,
555648,15974,TRUE,CAR,Active,1800,['TE'],Jordan Matthews,TE,4
,,TRUE,,Active,7795,['DB'],Rodarius Williams,CB,
,20846,TRUE,,Inactive,5907,['LB'],Vosean Joseph,OLB,
,21619,FALSE,,Inactive,6702,['K'],Andrew Jacas,K,
,17248,FALSE,,Inactive,2780,['DB'],Ian Wild,S,
,11371,FALSE,,Inactive,591,['DB'],Major Wright,SS,
,19649,TRUE,,Active,4833,['OL'],Connor Bozick,G,
399286,12861,FALSE,,Inactive,833,['TE'],Jordan Cameron,TE,
,,TRUE,,Inactive,7964,['LB'],Leighton McCarthy,LB,
,,TRUE,WAS,Active,7634,['LB'],Jamin Davis,LB,1
,,TRUE,JAX,Active,7846,['LB'],Caleb Johnson,LB,2
,19055,TRUE,,Active,4209,"['OG', 'OL']",Danny Isidora,OL,
748114,16997,FALSE,,Inactive,2537,['WR'],Mario Alford,WR,
515272,18786,FALSE,,Inactive,3953,['QB'],Austin Trainor,QB,
,,TRUE,SEA,Inactive,12258,['DL'],Buddha Jones,NT,
749205,19979,TRUE,,Active,5100,['RB'],Jordan Wilkins,RB,
,,TRUE,,Active,7938,['TE'],Hunter Kampmoyer,TE,
,8842,FALSE,,Inactive,404,['QB'],Jon Kitna,QB,
,22081,TRUE,,Active,7392,['DB'],Javelin Guidry,CB,
