,Projections_2024,Projections_2022,Stats_2022,stats_id,Stats_2023,Cost_2023,Cost_2022,Bought_By_2023,Bought_By_2022,VORP_2024_med,VORP_2024_mean,VALUE,fantasy_data_id,Projections_2023,active,team,status,player_id,fantasy_positions,full_name,position,depth_chart_order
609,18.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,HOU,Active,11828,['DL'],Marcus Harris,DL,
611,68.0,118.0,57.0,,89.0,0,0,,,0,0,0,16821.0,126.0,True,,Active,2365,['DL'],Randy Gregory,DE,
612,125.0,87.0,171.0,,274.0,0,0,,,0,0,0,,186.0,True,DAL,Inactive,8476,['DB'],DaRon Bland,DB,
618,13.0,0.0,0.0,,9.0,0,0,,,0,0,0,,0.0,True,SF,Inactive,8375,['DL'],Kalia Davis,DL,
626,23.0,0.0,0.0,,0.0,0,0,,,0,0,0,,22.0,True,,Active,11145,['K'],Tanner Brown,K,
628,14.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,MIN,Active,11819,['DL'],Levi Drake Rodriguez,DT,2.0
632,18.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,HOU,Inactive,12172,['DL'],Pheldarius Payne,DL,
638,328.0,208.0,359.0,,385.0,0,0,,,0,0,0,18964.0,342.0,True,DET,Active,4118,['LB'],Alex Anzalone,LB,1.0
643,134.0,143.0,149.0,,139.0,0,0,,,0,0,0,18952.0,170.0,True,PIT,Active,4106,['DL'],Larry Ogunjobi,DT,1.0
649,341.0,235.0,328.0,,328.0,0,0,,,0,0,0,20864.0,158.0,True,SEA,Active,5876,['DB'],Julian Love,DB,1.0
652,135.0,155.0,189.0,,84.0,0,0,,,0,0,0,19839.0,179.0,True,GB,Active,4979,['DB'],Jaire Alexander,CB,1.0
657,25.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,,Active,11156,['DB'],Cameron McCutcheon,CB,
658,129.0,156.0,235.0,,57.0,0,0,,,0,0,0,20766.0,274.0,True,PHI,Active,5893,['DB'],C.J. Gardner-Johnson,DB,1.0
663,71.6,56.8,60.6,,43.5,0,0,,,0,0,0,21717.0,50.0,True,SF,Active,7049,['WR'],Jauan Jennings,WR,4.0
669,106.0,99.0,151.0,835955.0,126.0,0,0,,,0,0,0,19942.0,137.0,True,DEN,Active,5466,"['DL', 'LB']",John Franklin-Myers,DT,1.0
672,256.0,196.4,149.0,,343.9,3,1,zackallen22,fartdoctor,0,0,0,,241.4,True,TB,Active,8136,['RB'],Rachaad White,RB,1.0
675,27.200000000000003,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,MIA,Active,11610,['WR'],Malik Washington,WR,4.0
678,64.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,TEN,Active,11098,['DL'],Caleb Murphy,DE,2.0
683,29.0,0.0,0.0,,8.0,0,0,,,0,0,0,,0.0,True,CAR,Active,8321,['DB'],Tariq Castro-Fields,DB,2.0
697,33.0,59.0,45.0,,0.0,0,0,,,0,0,0,16072.0,0.0,True,WAS,Active,5792,['DB'],Jeremy Reaves,DB,2.0
703,22.0,0.0,16.0,,6.0,0,0,,,0,0,0,21210.0,0.0,True,,Active,6310,['DB'],Tae Hayes,CB,
710,18.0,71.0,68.0,,63.0,0,0,,,0,0,0,,0.0,True,KC,Active,8383,['DL'],Cameron Thomas,DL,2.0
716,916.0400000000001,279.48,394.86,880026.0,137.94,0,0,,,0,0,0,19812.0,60.16,True,MIN,Active,4943,['QB'],Sam Darnold,QB,1.0
719,26.299999999999997,0.0,0.0,,18.4,0,0,,,0,0,0,,19.9,True,CIN,Active,10228,['WR'],Charlie Jones,WR,6.0
722,13.0,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,DET,Inactive,12155,['DL'],Nate Lynn,DL,
726,249.0,0.0,0.0,,241.0,0,0,,,0,0,0,,193.0,True,DET,Active,10905,['DB'],Brian Branch,DB,1.0
730,20.700000000000003,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,CIN,Active,11598,['TE'],Tanner McLachlan,TE,3.0
732,11.2,0.0,0.0,,0.0,0,0,,,0,0,0,,0.0,True,KC,Active,11998,['RB'],Emani Bailey,RB,
